"","YOB","CoupleType","BirthPlaceMom","BirthPlaceDad","LAHusband","LAWife","HusbandEducation","WifeEducation","Husband_ftotval","Husband_inctot","Husband_incwage","Wife_inctot","Wife_incwage","Fertility"
"1",1950,"Hispanic-Hispanic","Argentina","Argentina",1,1,11.6,9.6,11.0671399434408,1.33403472105662,1.33403472105662,0.720317155122757,0.720317155122757,4
"2",1950,"Hispanic-Hispanic","Costa Rica","Panama",1,1,12,12,11.066276550293,1.06637918949127,1.06637918949127,0.913340747356415,0.913340747356415,4
"3",1950,"Hispanic-Hispanic","Cuba","Cuba",1,1,7.08695652173913,6.82608695652174,10.3348873002189,0.553227299026081,0.540077016903804,0.316163865228494,0.302297574778398,3.47368421052632
"4",1950,"Hispanic-Hispanic","Ecuador","Ecuador",1,1,11.2,9.2,10.5434665679932,0.596292418241501,0.595372170209885,0.503054261207581,-1.36207807064056,5
"5",1950,"Hispanic-Hispanic","Mexico","Mexico",1,1,5.55405405405405,4.8343949044586,10.1126629161835,0.593743846785412,0.566668983572457,-0.371898765365283,-0.371898765365283,6.58333333333333
"6",1950,"Hispanic-Hispanic","Nicaragua","Nicaragua",1,1,10,10,10.6223149299622,0.360724464058876,0.360724464058876,0.151579469442368,0.151579469442368,5.66666666666667
"7",1950,"Hispanic-Hispanic","Panama","USA",1,1,8,5,10.8858327865601,0.839879751205444,0.839879751205444,0.771428823471069,0.771428823471069,5
"8",1950,"Hispanic-Hispanic","USA","USA",1,1,6.97668997668998,6.2051282051282,10.1491582427226,0.476198814578179,0.449363620970885,0.291677011922002,0.287463817823057,5.14928909952607
"9",1950,"Hispanic-White","USA","Mexico",1,0,4.94891640866873,5.73787878787879,10.1212150121139,0.553894106134,0.539968534786668,-0.0417715872374728,-0.0677692670375109,6.52816901408451
"10",1950,"Hispanic-White","USA","Spain",1,0,8.63636363636364,8.36363636363636,10.5626734324864,0.999730723244803,0.992050094263894,0.69985294342041,0.69985294342041,4.125
"11",1950,"Hispanic-White","USA","USA",1,0,9.64,8.64,10.3023415803909,0.60015498076876,0.55975706850489,-0.34631863449301,-0.34631863449301,4.33333333333333
"12",1950,"White-Hispanic","Chile","USA",0,1,12,9.5,10.6887512207031,0.866226762533188,0.866226762533188,0.454466909170151,0.454466909170151,3
"13",1950,"White-Hispanic","Mexico","USA",0,1,5.94845360824742,5.32460732984293,10.1398795002797,0.632182460157546,0.613198132663965,0.353158938139677,0.282561355084181,5.93820224719101
"14",1950,"White-Hispanic","USA","USA",0,1,7.90909090909091,8.36363636363636,10.4069200206447,0.74810100497829,0.717496682372358,0.52373783569783,0.40721080545336,4.57446808510638
"15",1950,"White-White","USA","USA",0,0,9.30053009408681,9.39659621888991,10.5079818733961,0.908523953800883,0.869265119974736,0.344016671478223,0.359291806996755,4.51759669357502
"16",1951,"Hispanic-Hispanic","Colombia","Colombia",1,1,12,10.3333333333333,10.2779649098714,0.460801502068837,0.460801502068837,0.616193950176239,0.616193950176239,4.66666666666667
"17",1951,"Hispanic-Hispanic","Colombia","Cuba",1,1,12,12,10.5561971664429,0.409328907728195,0.409328907728195,0.632989466190338,0.632989466190338,3
"18",1951,"Hispanic-Hispanic","Costa Rica","Costa Rica",1,1,9.5,9.5,10.6827816963196,0.832529634237289,0.832529634237289,0.378727585077286,0.378727585077286,5
"19",1951,"Hispanic-Hispanic","Cuba","Cuba",1,1,9.25,9.6875,10.4211317168342,0.541174881988101,0.524957383982837,0.445613625645638,0.445613625645638,3.125
"20",1951,"Hispanic-Hispanic","Dominican Republic","Dominican Republic",1,1,4,4.66666666666667,10.0962982177734,0.324287245670954,0.324287245670954,0.07779386267066,0.07779386267066,2.66666666666667
"21",1951,"Hispanic-Hispanic","Mexico","Mexico",1,1,6.22695035460993,5.64930555555556,10.0881216132123,0.556087451763451,0.5160194805633,-0.0991237107664347,-0.0991237107664347,6.16265060240964
"22",1951,"Hispanic-Hispanic","Nicaragua","Nicaragua",1,1,9,9,11.0039730072021,0.770963251590729,0.770963251590729,0.795425772666931,0.795425772666931,4.5
"23",1951,"Hispanic-Hispanic","USA","USA",1,1,7.32051282051282,6.7112676056338,10.0825283509971,0.480829317257222,0.469614808138403,0.294106530427348,0.299680829591428,5.15384615384615
"24",1951,"Hispanic-White","USA","Cuba",1,0,10.5,10.125,10.6224575042725,0.958880672852198,0.958880672852198,0.356430128216743,0.350153893232346,3.75
"25",1951,"Hispanic-White","USA","Mexico",1,0,6.26763485477178,7.26294820717131,10.1452165655188,0.596259531925344,0.585055402366636,-0.277824102646925,-0.277824102646925,6.34586466165414
"26",1951,"Hispanic-White","USA","Peru",1,0,14.6666666666667,14.3333333333333,10.8805516560872,1.26386258999507,1.04360471169154,1.04295456409454,0.795964479446411,4
"27",1951,"Hispanic-White","USA","Spain",1,0,8.8,12,10.6668830871582,1.06850073337555,1.03559486567974,1.07966113090515,1.07966113090515,4
"28",1951,"Hispanic-White","USA","USA",1,0,8.79411764705882,9.33333333333333,10.2946404351128,0.536113287680424,0.53169004762402,0.0761003732681274,0.0761003732681274,4.94736842105263
"29",1951,"White-Hispanic","Bolivia","USA",0,1,8,12,10.2315769195557,0.234631463885307,0.234631463885307,0.178683280944824,-0.590449810028076,3
"30",1951,"White-Hispanic","Dominican Republic","USA",0,1,13,12,11.0892763137817,1.18997883796692,1.18480086326599,0.640116512775421,0.640116512775421,2
"31",1951,"White-Hispanic","Mexico","USA",0,1,6.72598870056497,6.22857142857143,10.0699400368021,0.564820881291735,0.56820148325999,0.137338871757189,0.24004559896209,5.96464646464646
"32",1951,"White-Hispanic","USA","USA",0,1,9.97619047619048,9.4390243902439,10.4042970288184,0.79121947432718,0.762357747843189,0.414179515838623,0.414179515838623,4.71428571428571
"33",1951,"White-White","USA","USA",0,0,10.9835808797757,11.0468230169848,10.5179144776024,0.931516463957027,0.895075014270157,0.326717941062291,0.34403603911716,4.56604721794326
